Customer_ID,Age,Gender,Income_Level,Marital_Status,Education_Level,Occupation,Location,Purchase_Category,Purchase_Amount,Frequency_of_Purchase,Purchase_Channel,Brand_Loyalty,Product_Rating,Time_Spent_on_Product_Research(hours),Social_Media_Influence,Discount_Sensitivity,Return_Rate,Customer_Satisfaction,Engagement_with_Ads,Device_Used_for_Shopping,Payment_Method,Time_of_Purchase,Discount_Used,Customer_Loyalty_Program_Member,Purchase_Intent,Shipping_Preference,Time_to_Decision,Purchase_Hour,purchase_Day,Customer_Value,Cluster,Customer_Segment
37-611-6911,22,Female,Middle,Married,Bachelor's,Middle,Ã‰vry,Gardening & Outdoors,333.8,4,Mixed,5,5,2,Unknown,Somewhat Sensitive,1,7,Unknown,Tablet,Credit Card,3/1/2024,TRUE,FALSE,Need-based,No Preference,2,0,Friday,1335.2,0,Low Value
29-392-9296,49,Male,High,Married,High School,High,Huocheng,Food & Beverages,222.22,11,In-Store,3,1,2,Medium,Not Sensitive,1,5,High,Tablet,PayPal,4/16/2024,TRUE,FALSE,Wants-based,Standard,6,0,Tuesday,2444.42,1,High Value
84-649-5117,24,Female,Middle,Single,Master's,High,Huzhen,Office Supplies,426.22,2,Mixed,5,5,0.3,Low,Not Sensitive,1,7,Low,Smartphone,Debit Card,3/15/2024,TRUE,TRUE,Impulsive,No Preference,3,0,Friday,852.44,0,Low Value
48-980-6078,29,Female,Middle,Single,Master's,Middle,WiwilÃ­,Home Appliances,101.31,6,Mixed,3,1,1,High,Somewhat Sensitive,0,1,Unknown,Smartphone,Other,10/4/2024,TRUE,TRUE,Need-based,Express,10,0,Friday,607.86,1,High Value
91-170-9072,33,Female,Middle,Widowed,High School,Middle,Nara,Furniture,211.7,6,Mixed,3,4,0,Medium,Not Sensitive,2,10,Unknown,Smartphone,Debit Card,1/30/2024,FALSE,FALSE,Wants-based,No Preference,4,0,Tuesday,1270.2,0,Low Value
82-561-4233,45,Male,Middle,Married,Master's,High,Boro Utara,Office Supplies,487.95,8,Mixed,3,3,0,High,Not Sensitive,2,3,Unknown,Tablet,Debit Card,3/19/2024,FALSE,FALSE,Planned,No Preference,7,0,Tuesday,3903.6,2,Frequent Buyers
90-144-9193,21,Female,Middle,Divorced,High School,Middle,Liren,Furniture,486.4,12,Online,2,5,1,High,Somewhat Sensitive,0,9,Low,Desktop,Debit Card,3/15/2024,TRUE,FALSE,Need-based,Express,13,0,Friday,5836.8,2,Frequent Buyers
88-661-4689,39,Male,Middle,Single,High School,Middle,Taocheng,Books,218.06,6,Online,5,4,1,Low,Somewhat Sensitive,2,9,Unknown,Desktop,Credit Card,3/17/2024,FALSE,TRUE,Impulsive,No Preference,13,0,Sunday,1308.36,0,Low Value
37-065-3182,24,Female,High,Divorced,Master's,Middle,GrÃ¥bo,Office Supplies,201.96,8,In-Store,3,5,0,Low,Very Sensitive,1,2,High,Desktop,Cash,6/10/2024,FALSE,FALSE,Need-based,Standard,7,0,Monday,1615.68,1,High Value
84-894-9222,25,Bigender,High,Married,Bachelor's,High,Pryamitsyno,Sports & Outdoors,418.83,7,Online,2,5,1,Unknown,Somewhat Sensitive,1,5,Medium,Tablet,PayPal,10/7/2024,TRUE,FALSE,Need-based,No Preference,13,0,Monday,2931.81,2,Frequent Buyers
